Repo Name,Contributing Guildlines Link,Commenting Practice Related Content,label,,A's label,B's label,Final label
skadistats/clarity,\,\,,,,,
Sage-Bionetworks/Synapse-Repository-Services,\,\,,,,,
AOSPA/android_frameworks_base,\,\,,,,,
QuickBlox/q-municate-android,\,\,,,,,
odpi/egeria,https://github.com/odpi/egeria/blob/master/developer-resources/Developer-Guidelines.md,"Although all code for Egeria should be clear and easy to read, the code itself can only describe what it is doing. It can rarely describe why it is doing it. Also, the Egeria codebase is quite large and hard to digest in one go. Having summaries of its behaviour and philosophy helps people to understand its capability faster.
Javadoc
Javadoc is used to build a code reference for our public site. It is generated as part of the build. There are three places where Javadoc should be provided by the developer of Java code:

Every Java source file should begin with a header javadoc tag just before the start of the class/interface/enum, which explains the purpose and responsibilities of the code.
All public methods should have a clear Javadoc header describing the purpose, parameters and results (including exceptions). This includes test cases.
Each Java package should include a package-info.java file describing the purpose of the package and its content.
Java code files may have additional comments, particularly where the processing is complex. The most useful comments are those that describe the purpose, or intent of the code, rather than a description of what each line of code is doing.

The output from a build should be checked to ensure there are no javadoc warnings - for example about undocumented parameters or exceptions.","where to comment
 what to comment",,"what->required->functionality what->required->purpose  where->general_rules->explicit->all_classes  where->general_rules->explicit->all_methods where->general_rules->explicit->test_cases  what->required->usage

",where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes where->general_rules->explicit->test_cases what->required->functionality what->required->usage what->required->purpose,"what->required->functionality what->required->purpose  where->general_rules->explicit->all_classes  where->general_rules->explicit->all_methods where->general_rules->explicit->test_cases  what->required->usage

"
MoKee/android_frameworks_base,\,\,,,,,
rasto/lcmc,\,\,,,,,
codelibs/fess,\,\,,,,,
apache/drill,http://drill.apache.org/docs/apache-drill-contribution-guidelines/,All public classes and methods should have informative Javadoc comments. Do not use @author tags.,"where to comment
 what to comment",,"where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes  what->forbidden->author_tag

",where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->forbidden->author_tag,"where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes  what->forbidden->author_tag

"
Blood-Asp/GT5-Unofficial,https://github.com/Blood-Asp/GT5-Unofficial/blob/unstable/CONTRIBUTING.md,"Follow the codestyle used through most of the project
Try to document your code as you go for future readability.

Practies we'd like to avoid include:
Leaving large code comment segments commented out without any comments.",what to comment,,what->forbidden->commented_code,what->forbidden->commented_code,what->forbidden->commented_code
eclipse/eclipse.jdt.core,\,,,,,,
naver/ngrinder,https://github.com/naver/ngrinder/wiki/Coding-Convention,"Code written for an nGrinder 3.X project should follow the ""Code Conventions for the Java Programming Language""
http://www.oracle.com/technetwork/java/codeconv-138413.html

Exceptions
3.1.1 Beginning Comments
All source files should begin with a c-style comment that lists the class name, version information, date, and copyright notice:

Comment
Provide a class comment like the following. You should provide a simple description, author, and the version from which this class is provided.",,Oracle Guide,what->required->functionality what->required->author_info what->required->creation_date,what->required->functionality what->required->author_info what->required->creation_date,what->required->functionality what->required->author_info what->required->creation_date
jOOQ/jOOQ,https://github.com/jOOQ/jOOQ/blob/main/CONTRIBUTING.md,\,,,,,
bedatadriven/activityinfo,\,\,,,,,
leapcode/bitmask_android,\,\,,,,,
gmantele/taplib,\,\,,,,,
deegree/deegree3,"https://github.com/deegree/deegree3/blob/master/CONTRIB.md
https://github.com/deegree/deegree3/wiki/Developer-Guidelines","Java file headers
This is the header to use for new java files. Download https://raw.github.com/wiki/deegree/deegree3/codetemplates.xml for easy Eclipse import (includes class headers).

Javadoc class headers
This is the template to be used for class javadocs.",what to comment,,what->required->functionality what->required->author_info what->required->creation_date,what->required->functionality what->required->author_info what->required->creation_date,what->required->functionality what->required->author_info what->required->creation_date
BowlerHatLLC/feathers-sdk,https://feathersui.com/learn/as3-starling/coding-conventions/,\,,,,,
MyRobotLab/myrobotlab,\,\,,,,,
wso2/carbon-kernel,https://wso2.github.io/,\,,,,,
leonamp/SPFBL,\,\,,,,,
googleapis/google-cloud-java,https://github.com/googleapis/google-cloud-java/blob/master/CONTRIBUTING.md,Maintain the coding style in the project and in particular the modified files. Follow the Google Java style.,,Google Guide,,,
DSpace/DSpace,"https://wiki.lyrasis.org/display/DSPACE/Code+Contribution+Guidelines
https://wiki.lyrasis.org/display/DSPACE/Code+Style+Guide","Your code must adhere to our Java Code Style Guide. Most major IDEs can easily import our Checkstyle configurations to ensure alignment with this code style.
Your code should be well commented with Javadoc (required for all classes, public methods and larger private/protected methods).
A ""catch"" block must minimally include a comment as to why the catch is empty
Write Javadocs for public methods and classes. Keep it short and to the point.
Javadoc @author tags are optional, but should refer to an individual's name or handle (e.g. GitHub username) when included

","where to comment
 what to comment",Custom Guide,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes
weld/api,http://weld.cdi-spec.org/community/,\,,,,,
BaseXdb/basex,\,\,,,,,
manoelcampos/cloudsim-plus,https://github.com/manoelcampos/cloudsim-plus/blob/master/CONTRIBUTING.md,"If you have to write a comment to explain a portion of the code, probably you should use the Extract Method refactor in your IDE to create a new method for that portion of code. Commonly, you may be able to reduce and adjust your comment, using it as the method name.
You have to provide clear and relevant javadoc documentation for your classes, methods, parameters and attributes. Documentation such as ""The id"" or ""The name attribute"" doesn't help in anyway and just pollutes the code.",,,,,
ChameleonOS/android_frameworks_base,\,\,,,,,
BuildCraft/BuildCraft,https://github.com/BuildCraft/BuildCraft#contributing,\,,,,,
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/master/CONTRIBUTING.md,\,,,,,
spring-projects/greenhouse,https://github.com/spring-projects/greenhouse/wiki/Contributor-Guidelines,\,,,,,
apache/commons-beanutils,https://github.com/apache/commons-beanutils/blob/master/CONTRIBUTING.md,Respect the original code style:,,,,,
Geomatys/geotoolkit,\,\,,,,,
MovingBlocks/Terasology,https://github.com/MovingBlocks/Terasology/wiki,"Very long style guide here:https://github.com/MovingBlocks/Terasology/wiki/Code-Conventions#javadoc

Use // TODO comments to note where something needs to be done",,,"what->required->functionality other->readability->language what->required->@code what->required->@link what->required->usage what->forbidden->author_tag where->general_rules->explicit->all_methods
 ","what->required->functionality other->readability->language what->required->@code what->required->@link what->required->usage what->forbidden->author_tag where->general_rules->explicit->all_methods
 ","what->required->functionality other->readability->language what->required->@code what->required->@link what->required->usage what->forbidden->author_tag where->general_rules->explicit->all_methods
 "
robolectric/robolectric,http://robolectric.org/contributing/,"Documentation
Robolectric uses Markdown Doclet, so write javadoc using markdown, with javadoc tag extensions.

For developers with the Robolectric Chrome Extension installed, javadoc on Robolectric shadow classes and methods are inserted into developer.android.com sections for the classes and methods they shadow, and identified as Robolectric-related testing notes. Javadoc on visible, non-@Implementation methods on shadow classes are displayed in a new ‘Testing APIs�?section for the shadowed class.

There are special rules for javadoc on shadow classes to support the Robolectric Chrome Extension:

All @Implementation methods whose behavior varies from the standard Android behavior MUST have Javadoc describing the difference. Use @see or {@link} to indicate if the method’s behavior can be changed or inspected by calling testing API methods. If the method’s behavior is identical to the normal framework behavior, no javadoc is necessary.
All visible non-@Implementation methods SHOULD have descriptive Javadoc.
Don’t write javadoc comments like “Shadow for (whatever).�? The javadoc will appear in a section clearly related to testing, so make it make sense in context.",what to comment,,what->required->relationship what->required->@link,what->required->relationship what->required->@link,what->required->relationship what->required->@link
eclipse/rap,http://wiki.eclipse.org/RAP/CodingStandards,"@since Tags
All public API must be marked with a @since tag at the class/interface level. Only methods, fields etc. that are added in a later release cycle must carry their own @since tag. The version number denotes the release version in which the elemen",what to comment,,what->required->creation_date,what->required->creation_date,what->required->creation_date
Camelcade/Perl5-IDEA,https://github.com/Camelcade/Perl5-IDEA/wiki/Contribution-policy,\,,,,,
bytedeco/javacpp-presets,https://github.com/bytedeco/javacpp-presets#how-can-i-help,\,,,,,
aws-amplify/aws-sdk-android,\,\,,,,,
apache/ofbiz-framework,"https://cwiki.apache.org/confluence/display/OFBIZ/Coding+Conventions
","The OFBiz project follows the Sun coding standards for Java source code.
Of course comments at the top of sections are welcome...

",,,,,
hiddenswitch/Spellsource-Server,https://github.com/hiddenswitch/Spellsource/blob/798ccb5f9a1c034a8517bfc097293ba1fdc57112/spellsource-web/src/pages-markdown/contribute.md,\,,,,,
vavr-io/vavr,"https://github.com/vavr-io/vavr/blob/master/CONTRIBUTING.md
https://github.com/vavr-io/vavr/blob/master/CONTRIBUTING.md","Javadoc
Public API needs javadoc, e.g. public classes and public methods.
Non-trivial private methods need javadoc, too.
Design decisions are worth a comment.
A package, which is part of the public API, contains a package-info.java.
Unit tests contain no javadoc at all (because they introduce no new API and contain no business logic).
Running ./gradlew javadoc results in no javadoc errors.
All classes start with the following copyright notice in order to apply the Apache-2.0 license:

We do not include @author javadoc tags because they are redundant. Look up the git file history instead, e.g. on GitHub.",what to comment,,where->general_rules->explicit->all_methods what->required->purpose what->forbidden->author_tag where->general_rules->explicit->none_in_test_cases,where->general_rules->explicit->all_methods what->required->purpose what->forbidden->author_tag,where->general_rules->explicit->all_methods what->required->purpose what->forbidden->author_tag where->general_rules->explicit->none_in_test_cases
apache/maven-doxia,https://maven.apache.org/developers/conventions/code.html,"License Header: Always add the current ASF license header in all files checked into the source code repository.
Documentation: Document public interfaces well, i.e. all non-trivial public and protected functions should include Javadoc that indicates what they do.
JavaDoc Convention
TO BE DISCUSSED",,,where->general_rules->implicit->nontrivial_public_method,where->general_rules->implicit->nontrivial_public_method,where->general_rules->implicit->nontrivial_public_method
mapfish/mapfish-print,/,/,,,,,
apache/accumulo,"https://github.com/apache/accumulo/blob/8e309e987c8e565fa48ed82ac98e6990464ddbc3/.github/CONTRIBUTING.md
https://accumulo.apache.org/how-to-contribute/","Every file requires the ASF license header as described in ASF Source Header.
Do not use Author Tags. The code is developed and owned by the community.
",what to comment,,what->forbidden->author_tag,what->forbidden->author_tag,what->forbidden->author_tag
arquillian/arquillian-extension-persistence,/,/,,,,,
RuedigerMoeller/kontraktor,\,\,,,,,
cnaude/PurpleIRC,\,\,,,,,
google/closure-compiler,https://github.com/google/closure-compiler/wiki/Contributors#coding-conventions,"For the most part, we try to follow Google Java Style Guide.",,Google Guide,,,
stratosphere/stratosphere,https://github.com/stratosphere/stratosphere/wiki/CodingGuidelines,"Make sure you have Apache License headers in your files.

Do not add ""non-javadoc"" comments.

Add comments to your code. What is it doing? Add JavaDocs or inherit them by not adding any comments to the methods. Do not automatically generate comments and avoid unnecessary comments like

i++; // increment by one",what to comment,,what->required->functionality,what->required->functionality,what->required->functionality
cgeo/cgeo,https://github.com/cgeo/cgeo/wiki/Coding-Conventions,Javadoc should be used on public methods. Undescribed parameters and return values should be omitted.,"what to comment
where to comment",,where->general_rules->explicit->all_methods what->required->usage,where->general_rules->explicit->all_methods what->required->usage,where->general_rules->explicit->all_methods what->required->usage
apache/commons-logging,https://github.com/apache/commons-logging/blob/master/CONTRIBUTING.md,Respect the code style.,,,,,
liferay/liferay-portal,https://github.com/liferay/liferay-portal/blob/master/CONTRIBUTING.markdown,\,,,,,
kohsuke/github-api,https://github.com/hub4j/github-api/blob/master/CONTRIBUTING.md,\,,,,,
loklak/loklak_server,https://github.com/loklak/loklak_server#how-can-i-contribute,\,,,,,
kitodo/kitodo-production,https://kitodo-production.readthedocs.io/en/latest/,\,,,,,
adempiere/adempiere,\,\,,,,,
devicehive/devicehive-java-server,\,\,,,,,
koraktor/steam-condenser-java,https://github.com/koraktor/steam-condenser-java/blob/master/CONTRIBUTING.md,\,,,,,
SkriptLang/Skript,"https://github.com/SkriptLang/Skript/blob/master/.github/contributing.md
https://github.com/SkriptLang/Skript/blob/master/code-conventions.md","Comments
Prefer to comment why you're doing things instead of how you're doing them
In case the code is particularly complex, though, do both!
Write all comments in readable English
Remember the basic grammar rules
Fun is allowed, if that does not hurt the readability
No matter if a comment contains a sentence or not, capitalize the first letter
For single line comments
Always start with a space; it improves readability
You may put them at ends of lines, if the line doesn't get too wide due to that
",what to comment,,where->general_rules->implicit->complex_code other->readability->space_indent other->readability->english what->required->purpose,where->general_rules->implicit->complex_code other->readability->space_indent other->readability->english,where->general_rules->implicit->complex_code other->readability->space_indent other->readability->english what->required->purpose
PerfCake/PerfCake,http://perfcake.org/community/,\,,,,,
lionsoul2014/jcseg,\,\,,,,,
amplitude/Amplitude-Android,\,\,,,,,
openengsb/openengsb,\,\,,,,,
Microsoft/mssql-jdbc,https://github.com/microsoft/mssql-jdbc/blob/dev/Coding_Guidelines.md,"2. Comments
We should give appropriate java comments in code. Please find ideal example of java comments. We do not expect to have full javadocs for common methods like getters / setters.
All Java files should contain the appropriate copyright notice at the beginning of the file.",,,,,
rcsb/symmetry,\,\,,,,,
seasarorg/seasar2,\,\,,,,,
geopaparazzi/geopaparazzi,https://github.com/geopaparazzi/geopaparazzi/wiki/Project-Code-Conventions,"These are the code conventions we will from now on try to adhere to:

http://source.android.com/source/code-style.html",,,,,
Unidata/thredds,\,\,,,,,
smartrics/RestFixture,\,\,,,,,
basho/riak-java-client,"https://github.com/basho/riak-java-client#contributing
https://github.com/basho/riak-java-client/blob/develop/CONTRIBUTING.md",\,,,,,
orcc/orcc,\,\,,,,,
ReactiveX/RxJava,https://github.com/ReactiveX/RxJava/blob/3.x/CONTRIBUTING.md,"When submitting code, please make every effort to follow existing conventions and style in order to keep the code as readable as possible.",,,,,
CoprHD/coprhd-controller,\,\,,,,,
eclipse/jetty.project,"https://www.eclipse.org/jetty/get_involved.php
https://www.eclipse.org/jetty/develop.php#cg-coding-standards",Always have some javadoc,,,,,
JRebirth/JRebirth,http://www.jrebirth.org/Contribute.html,\,,,,,
saros-project/saros,https://www.saros-project.org/contribute/,"Acceptable code comments are summary comments (4.), intent comments (5.), and information that cannot be expressed in code (6.). Markers (3.) are acceptable during development but should be removed before release. Try to avoid comments that repeat (1.) or explain the code (2.). More details at https://www.saros-project.org/contribute/best-practices.html#kinds-of-comments",what to comment,,what->required->functionality what->required->purpose,what->required->functionality what->required->purpose,what->required->functionality what->required->purpose
apache/cocoon,http://cocoon.apache.org/1273_1_1.html,\,,,,,
DirtyUnicorns/android_frameworks_base,\,\,,,,,
apache/hbase,\,\,,,,,
wisdom-framework/wisdom,\,\,,,,,
cdapio/cdap,https://github.com/cdapio/cdap/blob/develop/CONTRIBUTING.rst,\,,,,,
Microsoft/java-debug,\,\,,,,,
eclipse/ditto,https://github.com/eclipse/ditto/blob/master/CONTRIBUTING.md,We use the Google Java Style Guide where a formatter for Eclipse IDE is available.,,,,,
Workiva/frugal,https://github.com/Workiva/frugal/blob/master/CONTRIBUTING.md,\,,,,,
twitch4j/twitch4j,https://twitch4j.github.io/docs/contribution/,"Punctuate every class and method description (sentence or phrase) with a period.
Starting with an action word, describe what each class and method does.
Avoid just restating the class or method name (e.g., Avoid updateLocalization(�? �?Updates the localization OR @param key the key).
Describe the most important details in the first sentence, because it is the only one shown in the class/method summary.
Include all relevant tags (@param, @return, etc) for each method; without them, the method Javadoc is incomplete.
Start a method description with Returns, if the method returns a value.
Don’t explicitly refer to collections in descriptions (e.g., list of articles). Use, instead, the plural (e.g., the articles) or “all the�?(e.g., all the articles).
When referring to another class, create a link by using {@link entity} (e.g., {@link TwitchClient})
Begin boolean parameter descriptions with whether.
Describe exceptions (e.g., @throws) in past tense.",,,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->@link other->readability->language,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->@link other->readability->language,where->general_rules->explicit->all_methods where->general_rules->explicit->all_classes what->required->usage what->required->@link other->readability->language
asLody/VirtualApp,\,\,,,,,
stephanenicolas/toothpick,https://github.com/stephanenicolas/toothpick/blob/master/CONTRIBUTING.md,\,,,,,
alkacon/alkacon-oamp,\,\,,,,,
jenkinsci/ivy-plugin,"https://www.jenkins.io/participate/code/
https://www.jenkins.io/participate/document/",\,,,,,
getsentry/sentry-java,https://github.com/getsentry/sentry-java/blob/main/CONTRIBUTING.md,\,,,,,
spotify/helios,https://github.com/spotify/helios/blob/master/CONTRIBUTING.md,\,,,,,
vaadin/cdi,https://vaadin.com/docs/latest/guide/contributing/overview,\,,,,,
ChestShop-authors/ChestShop-3,\,\,,,,,
BigScary/GriefPrevention,\,\,,,,,
marcelo-mason/PreciousStones,\,\,,,,,
VUE/VUE,\,\,,,,,
GreenDelta/olca-app,\,\,,,,,
fesch/CanZE,"https://canze.fisch.lu/how-to-help/
https://github.com/fesch/CanZE/wiki/4.-Collaborate-(continuous-development)",\,,,,,
jOOQ/jOOL,https://github.com/jOOQ/jOOL/blob/main/CONTRIBUTING.md,\,,,,,
AdamBien/lightfish,\,\,,,,,
M66B/XPrivacy,https://github.com/M66B/XPrivacy#contributing,\,,,,,
hierynomus/sshj,\,\,,,,,
owncloud/android,https://github.com/owncloud/android/blob/master/CONTRIBUTING.md,\,,,,,
velo/flexmojos,\,\,,,,,
oshi/oshi,https://github.com/oshi/oshi/blob/master/CONTRIBUTING.md,\,,,,,
plivo/plivo-java,\,\,,,,,
moezbhatti/qksms,\,\,,,,,
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool/blob/12ae67158c4357b1406dfa0415b4773a7cc03ef4/.github/CONTRIBUTING.md,\,,,,,
graphql-java/graphql-java,https://github.com/graphql-java/graphql-java/blob/master/CONTRIBUTING.md,\,,,,,
spring-projects/spring-kafka,"https://github.com/spring-projects/spring-kafka#code-conventions-and-housekeeping
https://github.com/spring-projects/spring-kafka/blob/main/CONTRIBUTING.adoc","Make sure all new .java files to have a simple Javadoc class comment with at least an @author tag identifying you, and preferably at least a paragraph on what the class is for.
Add yourself as an @author to the .java files that you modify substantially (more than cosmetic changes).
Add some Javadocs and, if you change the namespace, some XSD doc elements.
Use @since tags for newly-added public API types and methods.






",,,where->general_rules->explicit->all_classes what->required->author_info what->required->creation_date what->required->purpose,where->general_rules->explicit->all_classes what->required->author_info what->required->creation_date what->required->purpose,where->general_rules->explicit->all_classes what->required->author_info what->required->creation_date what->required->purpose
Intel-bigdata/SSM,\,\,,,,,
facebook/litho,"https://github.com/facebook/litho/blob/master/CONTRIBUTING.md
https://fblitho.com/docs/best-practices/coding-style",We follow the Google Java Style.,,,,,
cfg4j/cfg4j,\,\,,,,,
sleekbyte/tailor,https://github.com/sleekbyte/tailor/blob/master/.github/CONTRIBUTING.md,\,,,,,
TigerVNC/tigervnc,\,\,,,,,
sanity/quickml,\,\,,,,,
crawljax/crawljax,https://github.com/crawljax/crawljax/wiki/Contributing-to-Crawljax-code,\,,,,,
aol/micro-server,\,\,,,,,
ether/pad,https://etherpad.org/#contribute,\,,,,,
linqs/psl,\,\,,,,,
brave/link-bubble,https://github.com/brave/link-bubble/blob/master/CONTRIBUTING.md,\,,,,,
react-native-community/react-native-svg,https://github.com/react-native-svg/react-native-svg/blob/develop/CONTRIBUTING.md,\,,,,,
jtransc/jtransc,https://jtransc.soywiz.com/contributing,\,,,,,
rsocket/rsocket-java,https://github.com/rsocket/rsocket-java/blob/master/CONTRIBUTING.md,\,,,,,
vmware/xenon,"https://github.com/vmware-archive/xenon/wiki/contributing
https://github.com/vmware-archive/xenon/wiki/Code-Style","Comments are always placed at independent line.
Do not append the comment at the end of the line.",,,,,
line/line-bot-sdk-java,https://github.com/line/line-bot-sdk-java/blob/master/CONTRIBUTING.md,\,,,,,
keycloak/keycloak,https://github.com/keycloak/keycloak/blob/master/CONTRIBUTING.md,\,,,,,
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix#contributing,"Make sure all new .java files to have a simple Javadoc class comment with at least an @author tag identifying you, and preferably at least a paragraph on what the class is for.

Add the ASF license header comment to all new .java files (copy from existing files in the project)

Add yourself as an @author to the .java files that you modify substantially (more than cosmetic changes).

Add some Javadocs and, if you change the namespace, some XSD doc elements.",,,where->general_rules->explicit->all_classes what->required->author_info what->required->purpose,where->general_rules->explicit->all_classes what->required->author_info what->required->purpose,where->general_rules->explicit->all_classes what->required->author_info what->required->purpose
rabbitmq/rabbitmq-java-client,https://github.com/rabbitmq/rabbitmq-java-client/blob/main/CONTRIBUTING.md,\,,,,,
tabulapdf/tabula-java,\,\,,,,,
jitsi/jitsi-videobridge,https://jitsi.github.io/handbook/docs/dev-guide/dev-guide-contributing,"Comments documenting the source code are required.

Comments from which documentation is automatically generated are not subject to case-by-case decisions. Such comments are used, for example, on types and their members. Examples of tools which automatically generate documentation from such comments include JSDoc, Javadoc, Doxygen.

Comments which are not automatically processed are strongly encouraged. They are subject to case-by-case decisions. Such comments are often observed in function bodies.

Comments should be formatted as proper English sentences. Such formatting pays attention to, for example, capitalization and punctuation.",,,where->general_rules->implicit->complex_code other->readability->english,where->general_rules->implicit->complex_code other->readability->english,where->general_rules->implicit->complex_code other->readability->english
atomix/copycat,\,\,,,,,
permissions-dispatcher/PermissionsDispatcher,\,\,,,,,
dmfs/opentasks,\,\,,,,,
TeamAmaze/AmazeFileManager,https://github.com/TeamAmaze/AmazeFileManager/blob/release/3.7/CONTRIBUTING.md,"Please follow Android/JAVA code style for writing any code, but do not use the Hungarian notation proposed - discussion here.",,,,,
viskell/viskell,\,\,,,,,
julianhyde/sqlline,\,\,,,,,
eidottermihi/rpicheck,https://github.com/eidottermihi/rpicheck#contributing,\,,,,,
apache/sentry,https://cwiki.apache.org/confluence/display/SENTRY/How+to+Contribute,"Insert java docs and code comments where appropriate.
Please do not comment out code that is now obsolete: just remove it.
Please do comment code whose function or rationale is not obvious;
",,,where->general_rules->implicit->complex_code what->required->functionality what->required->purpose what->forbidden->commented_code,where->general_rules->implicit->complex_code what->required->functionality what->required->purpose what->forbidden->commented_code,where->general_rules->implicit->complex_code what->required->functionality what->required->purpose what->forbidden->commented_code
fullstackreact/react-native-firestack,https://github.com/fullstackreact/react-native-firestack/blob/master/Contributing.md,\,,,,,
yandex/clickhouse-jdbc,\,\,,,,,
ehcache/ehcache3,https://github.com/ehcache/ehcache3/blob/master/CONTRIBUTING.adoc,\,,,,,
real-logic/agrona,https://github.com/real-logic/agrona/blob/master/CONTRIBUTING.md,"When submitting code, please make every effort to follow existing conventions and style in order to keep the code as readable as possible.

",,,,,
ryantenney/metrics-spring,\,\,,,,,
torquebox/jruby-maven-plugins,https://github.com/torquebox/jruby-maven-plugins#contributing,\,,,,,
JetBrains/jetpad-projectional-open-source,\,\,,,,,
systers/powerup-android,"https://github.com/anitab-org/powerup-android/blob/develop/CONTRIBUTING.md
https://github.com/anitab-org/powerup-android/blob/develop/CONTRIBUTING.md",\,,,,,
Ellpeck/ActuallyAdditions,\,\,,,,,
stefan-niedermann/nextcloud-notes,https://github.com/stefan-niedermann/nextcloud-notes/blob/master/CONTRIBUTING.md,\,,,,,
networknt/light-4j,https://doc.networknt.com/contribute/,\,,,,,
raulhaag/MiMangaNu,\,\,,,,,
vsch/idea-multimarkdown,\,\,,,,,
TechReborn/TechReborn,https://github.com/TechReborn/TechReborn/blob/482fe4f01f70e5b1563e52b1fb133dfd58c605f4/.github/CONTRIBUTING.md,"The code includes javadoc where appropriate.
The code is tidy (indentation, line length, no commented-out code, no spelling mistakes, etc).",,,where->general_rules->implicit->nontrivial_public_method what->forbidden->commented_code,where->general_rules->implicit->nontrivial_public_method what->forbidden->commented_code,where->general_rules->implicit->nontrivial_public_method what->forbidden->commented_code
umple/umple,"https://github.com/umple/umple/blob/master/CONTRIBUTING.md
https://github.com/umple/umple/wiki/ContributionProcessToUmple","Please adhere to the coding conventions in the project (indentation, accurate comments, etc.) and don't forget to add your own tests and documentation. 
Document your code. in particular, use proper comment blocks at the beginning of each file, informative comments where necessary in the body, and Readme.txt files in directories.",,,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code
ruleant/getback_gps,https://github.com/ruleant/getback_gps/wiki/Development,\,,,,,
jitsi/ice4j,\,\,,,,,
StevenRS11/DimDoors,\,\,,,,,
spotify/apollo,https://github.com/spotify/apollo/blob/1.x/CONTRIBUTING.md,"Make sure to document your feature in the relevant places (Javadoc comments, README files, etc).
",,,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code
xenit-eu/dynamic-extensions-for-alfresco,https://github.com/xenit-eu/dynamic-extensions-for-alfresco/blob/master/documentation/Contributing.md,\,,,,,
camelot-framework/camelot,\,\,,,,,
serenity-bdd/serenity-jbehave,https://github.com/serenity-bdd/serenity-jbehave/blob/master/CONTRIBUTING.md,\,,,,,
RIPE-NCC/whois,https://github.com/RIPE-NCC/whois/wiki/Coding-standard,"Don't include unnecessary comments, code should be self-documenting. Remember: comments have to be maintained too, but they are not covered by tests.
",,,where->general_rules->implicit->complex_code other->maintenance->update,where->general_rules->implicit->complex_code other->maintenance->update,where->general_rules->implicit->complex_code other->maintenance->update
i2p/i2p.i2p-bote,\,\,,,,,
grzegorznittner/chanu,\,\,,,,,
alfio-event/alf.io,https://alf.io/docs/contribution-guidelines/,\,,,,,
mucommander/mucommander,https://github.com/mucommander/mucommander/wiki#contributors,\,,,,,
jjoe64/GraphView,\,\,,,,,
chennaione/sugar,\,\,,,,,
4pr0n/ripme,https://github.com/4pr0n/ripme/blob/351b58ce22974c9b7bc290e0afe0d9c3f4133a0c/.github/CONTRIBUTING.md,\,,,,,
KronicDeth/intellij-elixir,https://github.com/KronicDeth/intellij-elixir/blob/main/CONTRIBUTING.md#contributing,\,,,,,
schildbach/public-transport-enabler,\,\,,,,,
brianwernick/ExoMedia,https://github.com/brianwernick/ExoMedia/blob/master/CONTRIBUTING.md,\,,,,,
egovernments/egov-smartcity-suite,https://github.com/egovernments/egov-smartcity-suite/blob/master/CONTRIBUTING.md,"Add GPL 3 license header to all new classes, update GPL license header in modified files as necessary
Use @since tags for newly-added public API types and methods
",,,what->required->creation_date,what->required->creation_date,what->required->creation_date
Yakindu/statecharts,https://github.com/Yakindu/statecharts/blob/master/CONTRIBUTING.md,\,,,,,
orbit/orbit,https://www.orbit.cloud/orbit/contributing/standards-and-policies/,"Provide KDoc comments for all public members, with the exception of overrides that do not require any new documentation (to support generating documentation for the library)
",,,where->general_rules->explicit->all_methods where->general_rules->explicit->none_in_overriding_methods,where->general_rules->explicit->all_methods where->general_rules->explicit->none_in_overriding_methods,where->general_rules->explicit->all_methods where->general_rules->explicit->none_in_overriding_methods
frakbot/FWeather,\,\,,,,,
okjsp/okjsp-site,\,\,,,,,
ikarus23/MifareClassicTool,\,\,,,,,
emilsjolander/StickyListHeaders,\,\,,,,,
cfeclipse/cfeclipse,\,\,,,,,
ESAPI/esapi-java-legacy,https://github.com/ESAPI/esapi-java-legacy/blob/develop/CONTRIBUTING-TO-ESAPI.txt,\,,,,,
tagbangers/wallride,http://wallride.org/docs/guide.html#contribute,\,,,,,
INRIA/spoon,"https://github.com/INRIA/spoon/blob/master/CONTRIBUTING.md
https://spoon.gforge.inria.fr/comments.html","Spoon integrators only merge well tested and well documented pull requests, after thorough code review",,,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code
kreed/vanilla,https://github.com/kreed/vanilla,\,,,,,
MCUpdater/MCUpdater,https://github.com/MCUpdater/MCU-API,\,,,,,
Grarak/KernelAdiutor,https://github.com/Grarak/KernelAdiutor,\,,,,,
twizmwazin/CardinalPGM,https://github.com/twizmwazin/CardinalPGM,\,,,,,
classgraph/classgraph,https://github.com/classgraph/classgraph,\,,,,,
alibaba/Sentinel,https://github.com/alibaba/Sentinel/blob/master/CONTRIBUTING.md,"Readability: Important code should be well-documented. Comply with our code style.
",,,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code,where->general_rules->implicit->complex_code
